event_id,user_id,session_id,listing_id,event_time,device_type,traffic_source,room_type,city,price,price_log,demand_score,availability_ratio,impression,click,detail_view,save,contact
1,35015,587281,12775106,2025-03-10 01:50:00,mobile,email,Entire home/apt,Queens,120,4.795790545596741,0.03,0.0,1,1,0,0,0
2,89720,182859,304799,2025-02-23 07:15:00,mobile,organic,Entire home/apt,Manhattan,150,5.017279836814924,1.4300000000000002,0.0054794520547945,1,1,1,1,1
3,76186,894861,30120067,2025-03-26 04:40:00,tablet,organic,Shared room,Bronx,50,3.9318256327243257,10.08,0.6602739726027397,1,1,1,0,1
4,74430,354595,34387952,2025-03-08 03:28:00,desktop,organic,Entire home/apt,Manhattan,250,5.525452939131784,0.88,0.1671232876712328,1,1,1,1,1
5,59185,360425,8754339,2025-02-27 08:03:00,mobile,email,Shared room,Manhattan,60,4.110873864173311,0.0,0.0,1,0,0,0,0
6,72306,567128,4576206,2025-03-24 15:54:00,mobile,direct,Entire home/apt,Brooklyn,250,5.525452939131784,13.23,0.7287671232876712,1,1,1,0,0
7,29416,609734,13431257,2025-01-22 00:52:00,desktop,organic,Entire home/apt,Manhattan,239,5.480638923341991,0.0,1.0,1,0,0,0,0
8,88655,435567,29561222,2025-01-16 10:27:00,desktop,organic,Private room,Brooklyn,29,3.4011973816621555,427.75,0.147945205479452,1,1,1,1,1
9,83180,273480,17669480,2025-03-04 11:24:00,mobile,paid,Entire home/apt,Brooklyn,125,4.836281906951478,383.76,0.7342465753424657,1,1,1,0,1
10,60262,206333,35634364,2025-03-13 17:18:00,mobile,organic,Private room,Brooklyn,40,3.713572066704308,0.0,0.0931506849315068,1,1,1,1,1
11,84189,304098,34062693,2025-02-24 02:48:00,desktop,paid,Private room,Queens,85,4.454347296253507,0.0,0.0082191780821917,1,0,0,0,0
12,89952,333953,12955940,2025-03-20 19:28:00,mobile,direct,Private room,Bronx,34,3.555348061489413,0.1,0.0,1,0,0,0,0
13,63662,671992,31963324,2025-03-31 07:30:00,desktop,paid,Private room,Manhattan,75,4.330733340286331,0.0,0.0,1,0,0,0,0
14,77410,281605,764753,2025-03-09 14:00:00,mobile,direct,Entire home/apt,Brooklyn,82,4.418840607796598,143.64,0.6520547945205479,1,1,0,0,0
15,62191,165897,276216,2025-02-05 22:51:00,mobile,organic,Entire home/apt,Brooklyn,127,4.852030263919617,0.03,1.0,1,1,1,1,0
16,85965,871107,1213745,2025-01-19 04:38:00,mobile,organic,Entire home/apt,Manhattan,175,5.170483995038151,0.12,0.1863013698630137,1,0,0,0,0
17,22213,911523,3835766,2025-03-29 01:56:00,mobile,paid,Private room,Brooklyn,57,4.060443010546419,30.96,0.1589041095890411,1,1,0,0,0
18,58987,204169,29945767,2025-02-04 12:26:00,tablet,email,Entire home/apt,Brooklyn,95,4.564348191467836,0.15,0.021917808219178,1,0,0,0,0
19,93176,780265,30566910,2025-01-05 05:09:00,desktop,paid,Entire home/apt,Manhattan,110,4.709530201312334,0.7,0.7671232876712328,1,1,1,0,1
20,69783,581548,13815162,2025-02-28 04:03:00,desktop,direct,Private room,Queens,40,3.713572066704308,15.96,0.3671232876712328,1,0,0,0,0
21,71353,496357,15830677,2025-02-27 06:12:00,mobile,paid,Entire home/apt,Manhattan,117,4.770684624465665,0.75,0.852054794520548,1,1,1,1,0
22,25802,154790,22203719,2025-03-15 16:55:00,mobile,organic,Entire home/apt,Manhattan,150,5.017279836814924,7.800000000000001,0.0,1,0,0,0,0
23,91658,841019,4659285,2025-03-24 01:40:00,mobile,paid,Entire home/apt,Manhattan,450,6.111467339502679,119.88,0.8301369863013699,1,1,0,0,0
24,70646,539226,21651023,2025-03-10 16:57:00,tablet,organic,Private room,Manhattan,105,4.663439094112067,915.3,0.1863013698630137,1,1,1,1,1
25,97189,229401,32239640,2025-03-28 00:17:00,mobile,email,Entire home/apt,Manhattan,468,6.150602768446279,33.0,0.7315068493150685,1,1,0,0,0
26,53671,444356,20552326,2025-01-21 06:15:00,mobile,paid,Private room,Queens,80,4.394449154672439,16.15,0.4849315068493151,1,0,0,0,0
27,99637,728622,15048516,2025-01-16 09:47:00,mobile,organic,Entire home/apt,Queens,54,4.007333185232471,26.97,0.0,1,1,0,0,0
28,76945,793533,14489615,2025-03-23 22:10:00,mobile,email,Entire home/apt,Queens,60,4.110873864173311,102.6,0.0,1,1,1,1,0
29,53388,625897,1484031,2025-02-28 09:40:00,mobile,organic,Private room,Manhattan,100,4.61512051684126,3.15,0.8931506849315068,1,0,0,0,0
30,44600,995499,47370,2025-01-13 01:00:00,mobile,organic,Entire home/apt,Manhattan,125,4.836281906951478,0.09,0.0,1,0,0,0,0
31,93944,134128,15196650,2025-03-22 13:31:00,mobile,paid,Private room,Manhattan,110,4.709530201312334,0.0,0.0,1,1,0,0,0
32,70690,624911,28403499,2025-02-09 23:22:00,desktop,organic,Private room,Queens,57,4.060443010546419,3.96,0.1780821917808219,1,1,1,1,1
33,15736,396477,841211,2025-02-23 14:29:00,desktop,organic,Private room,Manhattan,999,6.907755278982137,12.0,1.0,1,0,0,0,0
34,80529,921120,544131,2025-01-14 12:00:00,mobile,direct,Private room,Manhattan,79,4.382026634673881,88.74,0.0821917808219178,1,1,0,0,0
35,53871,885443,24580806,2025-03-16 21:33:00,desktop,direct,Private room,Manhattan,75,4.330733340286331,11.83,0.3753424657534246,1,1,1,0,1
36,57165,216199,8847577,2025-03-24 18:10:00,mobile,organic,Entire home/apt,Brooklyn,1000,6.90875477931522,0.02,0.0,1,0,0,0,0
37,66786,812058,2123731,2025-01-31 23:28:00,tablet,direct,Private room,Manhattan,180,5.198497031265826,628.39,0.4410958904109589,1,1,1,0,1
38,41247,122871,2392301,2025-02-17 09:34:00,mobile,paid,Private room,Brooklyn,50,3.9318256327243257,4.0,0.0,1,0,0,0,0
39,38821,424837,32358081,2025-03-19 11:02:00,mobile,paid,Entire home/apt,Manhattan,160,5.081404364984463,0.0,0.8493150684931506,1,0,0,0,0
40,13213,579849,23797329,2025-03-01 05:32:00,mobile,organic,Shared room,Brooklyn,35,3.58351893845611,0.5700000000000001,1.0,1,1,1,0,1
41,39495,384447,11421477,2025-01-03 22:09:00,mobile,organic,Entire home/apt,Manhattan,159,5.075173815233827,54.52,0.989041095890411,1,1,0,0,0
42,81744,451993,17510136,2025-03-12 19:21:00,mobile,organic,Entire home/apt,Manhattan,195,5.278114659230517,0.0,0.9972602739726028,1,1,0,0,0
43,19644,698590,8171965,2025-02-28 21:10:00,desktop,organic,Private room,Queens,100,4.61512051684126,0.02,0.9972602739726028,1,0,0,0,0
44,16453,134769,6747685,2025-02-21 05:47:00,mobile,organic,Entire home/apt,Manhattan,499,6.214608098422191,25.2,0.6109589041095891,1,1,1,1,1
45,86629,297004,33589468,2025-03-10 21:50:00,mobile,email,Entire home/apt,Queens,150,5.017279836814924,103.8,0.1890410958904109,1,1,1,1,0
46,21263,720964,33406188,2025-03-24 07:25:00,tablet,direct,Private room,Manhattan,169,5.135798437050262,1.62,0.9424657534246575,1,0,0,0,0
47,66480,154827,6477272,2025-02-07 12:02:00,mobile,organic,Entire home/apt,Queens,155,5.049856007249537,0.44,0.473972602739726,1,1,1,0,0
48,75841,930100,33398320,2025-02-08 11:30:00,mobile,organic,Private room,Queens,39,3.688879454113936,5.8,0.4301369863013699,1,1,1,1,0
49,42021,825393,8507219,2025-02-24 00:16:00,mobile,direct,Private room,Queens,80,4.394449154672439,19.8,0.6821917808219178,1,1,1,1,1
50,27958,920711,19284144,2025-01-29 15:34:00,desktop,paid,Entire home/apt,Brooklyn,77,4.356708826689592,1.0,0.0,1,0,0,0,0
51,76408,110285,1361017,2025-03-28 07:23:00,mobile,organic,Entire home/apt,Brooklyn,140,4.948759890378168,9.12,0.6986301369863014,1,1,1,1,1
52,51128,293198,19013171,2025-02-15 22:31:00,desktop,paid,Private room,Manhattan,117,4.770684624465665,0.15,0.9095890410958904,1,0,0,0,0
