session_id,variant,click,detail_view,save,contact
587281,control,1,1,0,0
182859,treatment,1,1,1,0
894861,treatment,1,1,0,0
354595,treatment,1,1,0,1
360425,control,0,0,0,0
567128,control,1,0,0,0
609734,control,0,0,0,0
435567,treatment,1,1,0,0
273480,treatment,1,0,0,0
206333,treatment,1,1,0,0
304098,control,0,0,0,0
333953,treatment,0,0,0,0
671992,treatment,0,0,0,0
281605,control,1,0,0,0
165897,control,1,1,0,0
871107,control,0,0,0,0
911523,control,1,0,0,0
204169,treatment,0,0,0,0
780265,control,1,0,0,0
581548,control,0,0,0,0
496357,treatment,1,1,0,1
154790,control,0,0,0,0
841019,control,1,1,0,0
539226,control,1,0,0,0
229401,control,1,1,0,0
444356,treatment,0,0,0,0
728622,control,1,0,0,0
793533,treatment,1,1,0,0
625897,treatment,0,0,0,0
995499,control,0,0,0,0
134128,treatment,1,1,0,0
624911,control,1,1,0,1
396477,control,0,0,0,0
921120,treatment,1,1,1,0
885443,treatment,1,0,0,0
216199,treatment,0,0,0,0
812058,control,1,1,0,0
122871,control,0,0,0,0
424837,treatment,0,0,0,0
579849,control,1,0,0,0
384447,control,1,1,0,0
451993,control,1,1,1,0
698590,control,0,0,0,0
134769,treatment,1,0,0,0
297004,control,1,0,0,0
720964,treatment,0,0,0,0
154827,control,1,1,0,0
930100,treatment,1,1,0,0
825393,treatment,1,1,0,0
920711,control,0,0,0,0
110285,treatment,1,1,0,0
293198,treatment,0,0,0,0
669497,treatment,0,0,0,0
685988,treatment,1,1,1,0
495908,treatment,0,0,0,0
933822,treatment,0,0,0,0
361787,control,1,0,0,0
560784,control,1,0,0,0
795116,control,0,0,0,0
469994,control,1,1,0,0
579870,control,0,0,0,0
586080,control,1,0,0,0
500855,treatment,0,0,0,0
486316,control,1,1,0,0
804121,control,0,0,0,0
603447,treatment,1,1,0,0
956220,control,1,0,0,0
734523,treatment,1,0,0,0
569420,control,0,0,0,0
937492,treatment,1,1,0,0
825973,treatment,1,1,0,0
193011,control,0,0,0,0
166811,control,0,0,0,0
849834,treatment,0,0,0,0
394706,treatment,1,1,0,0
591578,treatment,1,1,0,0
248072,treatment,1,1,0,0
245164,control,1,1,1,0
916686,control,1,0,0,0
159562,control,0,0,0,0
744759,treatment,1,0,0,0
249167,treatment,1,0,0,0
822238,control,1,0,0,0
268772,control,1,1,0,0
926165,control,1,1,0,0
313725,control,1,1,0,0
403501,treatment,1,0,0,0
258734,treatment,1,1,1,0
174696,treatment,0,0,0,0
690285,control,1,0,0,0
517929,control,1,1,0,0
510361,treatment,1,1,0,0
208693,treatment,1,1,0,0
518654,treatment,1,0,0,0
391596,treatment,1,1,0,0
681261,control,0,0,0,0
577483,treatment,1,1,0,0
511046,control,1,0,0,0
330818,control,1,1,0,0
954774,control,1,1,1,0
147988,control,1,0,0,0
418746,treatment,1,1,0,0
562077,control,1,1,0,0
663703,treatment,1,1,0,0
185676,treatment,1,1,0,1
121781,control,0,0,0,0
108993,control,1,1,1,0
796200,treatment,0,0,0,0
967121,control,1,1,0,0
896981,control,1,1,0,0
275289,control,0,0,0,0
357891,control,0,0,0,0
849551,treatment,0,0,0,0
242559,treatment,1,1,0,0
489693,treatment,1,1,0,1
599109,treatment,0,0,0,0
567539,treatment,0,0,0,0
265887,control,0,0,0,0
206522,treatment,1,1,0,0
790556,treatment,1,1,0,0
531423,treatment,0,0,0,0
753950,treatment,1,1,1,0
905883,control,1,1,0,0
359594,control,1,1,0,0
971703,control,1,1,0,0
888764,control,1,1,1,0
220004,treatment,1,1,0,0
398759,treatment,1,1,0,0
150450,control,1,1,0,0
183011,treatment,1,1,0,0
362376,control,1,1,0,0
983298,control,1,0,0,0
935805,control,0,0,0,0
546767,control,0,0,0,0
821831,treatment,0,0,0,0
695557,control,1,0,0,0
124514,treatment,1,1,0,0
238639,treatment,1,1,0,0
855007,control,0,0,0,0
339879,treatment,0,0,0,0
624652,treatment,0,0,0,0
998436,control,1,1,0,0
209285,control,1,1,0,0
132378,control,1,1,0,0
994178,control,0,0,0,0
239719,control,1,1,0,0
126339,treatment,0,0,0,0
623928,treatment,1,0,0,0
357844,control,0,0,0,0
441296,control,0,0,0,0
508056,treatment,1,1,1,1
931815,control,1,0,0,0
374068,control,1,1,0,0
338386,control,1,1,0,0
587420,treatment,1,1,1,0
847437,control,1,1,0,1
623784,treatment,1,1,1,0
971743,treatment,1,1,1,1
674175,control,1,0,0,0
540780,treatment,1,1,1,1
578742,control,1,1,0,0
281691,treatment,1,1,0,0
726106,treatment,1,1,1,0
788007,treatment,0,0,0,0
218463,control,1,1,0,0
186581,treatment,1,1,0,0
294139,control,1,1,0,0
640174,control,0,0,0,0
584147,control,1,0,0,0
796284,treatment,1,1,0,0
462162,treatment,1,1,0,0
821411,control,1,1,0,0
409665,treatment,1,0,0,0
236292,control,0,0,0,0
196663,treatment,1,1,1,0
273460,control,0,0,0,0
203553,treatment,1,1,0,0
210086,control,1,1,0,0
820567,treatment,1,1,0,0
190051,control,0,0,0,0
243394,control,1,1,1,0
695966,control,1,1,1,0
425351,treatment,1,1,0,0
589625,treatment,0,0,0,0
504881,control,0,0,0,0
643807,treatment,0,0,0,0
466326,treatment,1,1,0,0
549401,treatment,1,1,0,0
350084,treatment,0,0,0,0
925142,control,0,0,0,0
742955,control,1,0,0,0
656008,treatment,0,0,0,0
306076,treatment,1,1,0,1
216199,treatment,1,1,0,0
907716,treatment,1,1,1,0
627250,control,1,1,0,0
327342,control,0,0,0,0
469534,treatment,0,0,0,0
223733,treatment,1,1,0,0
767987,treatment,1,1,1,0
428268,treatment,0,0,0,0
229238,treatment,0,0,0,0
380573,control,1,1,0,0
712062,control,0,0,0,0
295628,treatment,1,1,0,0
487423,treatment,1,1,0,0
176764,control,0,0,0,0
747732,control,1,1,0,0
203068,treatment,0,0,0,0
729679,control,1,1,1,1
448117,control,1,0,0,0
759824,treatment,1,1,0,0
594226,treatment,0,0,0,0
227669,treatment,1,1,1,1
107166,control,1,1,0,0
580374,treatment,1,1,1,0
374790,control,1,1,0,0
251382,control,1,1,0,0
265480,treatment,1,1,0,0
228513,treatment,0,0,0,0
642322,treatment,1,1,0,0
944278,treatment,0,0,0,0
966335,treatment,1,0,0,0
192517,control,0,0,0,0
370397,control,1,1,0,0
998144,control,0,0,0,0
308249,control,1,0,0,0
810278,treatment,1,1,1,0
253071,control,1,1,1,0
843009,treatment,1,1,1,1
702563,treatment,1,1,0,0
725878,treatment,1,1,0,1
508659,treatment,1,0,0,0
376885,treatment,0,0,0,0
901773,control,0,0,0,0
975626,control,0,0,0,0
116740,treatment,1,0,0,0
573218,control,1,1,0,0
424629,control,0,0,0,0
510195,treatment,0,0,0,0
314616,control,0,0,0,0
360321,treatment,1,1,0,0
617225,treatment,1,1,0,0
245332,treatment,0,0,0,0
442968,control,1,1,0,0
684073,control,0,0,0,0
465414,treatment,0,0,0,0
781966,control,1,1,0,0
235025,treatment,1,0,0,0
517660,treatment,1,0,0,0
652165,treatment,1,0,0,0
859894,control,0,0,0,0
233642,control,0,0,0,0
132391,treatment,1,1,1,0
247548,control,1,0,0,0
481731,control,1,1,0,0
765752,treatment,1,1,0,0
984134,treatment,0,0,0,0
309249,treatment,1,0,0,0
584206,treatment,1,1,0,0
907519,control,0,0,0,0
664797,treatment,1,1,0,0
658952,treatment,0,0,0,0
649846,control,0,0,0,0
201268,treatment,0,0,0,0
291378,treatment,1,1,0,0
852024,treatment,1,0,0,0
109302,treatment,1,0,0,0
499570,treatment,1,1,0,0
518174,control,0,0,0,0
457970,control,1,1,0,0
832898,treatment,1,1,0,0
191659,treatment,1,1,0,0
266758,treatment,1,1,0,0
615224,treatment,1,1,0,0
121508,treatment,1,1,0,0
834283,treatment,1,1,0,0
806970,treatment,1,1,0,0
226323,treatment,1,1,0,0
281330,treatment,1,1,0,0
645708,treatment,0,0,0,0
993358,treatment,1,1,0,0
840823,control,1,1,1,1
160777,control,1,1,0,0
405563,control,0,0,0,0
663168,treatment,1,0,0,0
167618,control,0,0,0,0
637841,control,1,1,0,0
464175,treatment,1,1,0,0
170539,control,0,0,0,0
360175,treatment,1,1,0,0
528842,control,1,0,0,0
796603,control,0,0,0,0
362870,treatment,0,0,0,0
347541,control,0,0,0,0
156557,control,0,0,0,0
247792,treatment,1,1,0,0
578738,treatment,1,1,0,0
654954,control,1,0,0,0
597603,treatment,0,0,0,0
518377,control,1,0,0,0
708122,control,0,0,0,0
499442,treatment,1,1,0,0
343363,treatment,0,0,0,0
962525,treatment,1,0,0,0
629258,treatment,1,1,0,0
958790,treatment,1,1,0,0
412947,treatment,0,0,0,0
412616,control,0,0,0,0
360795,treatment,1,1,0,0
789918,control,1,1,0,0
482293,control,1,1,1,0
561633,control,1,0,0,0
674394,control,1,1,0,0
220672,treatment,0,0,0,0
891975,treatment,0,0,0,0
107130,treatment,1,1,1,0
675506,control,1,1,0,0
507350,control,1,1,0,0
742927,control,0,0,0,0
332237,control,0,0,0,0
835235,treatment,1,1,0,0
262258,treatment,1,1,1,0
257885,treatment,1,0,0,0
796382,control,1,1,0,0
567957,treatment,0,0,0,0
368277,treatment,0,0,0,0
544357,treatment,0,0,0,0
552462,treatment,1,0,0,0
445868,control,1,1,0,0
693149,control,0,0,0,0
464146,control,1,1,1,1
237045,treatment,1,0,0,0
941475,control,0,0,0,0
617121,control,1,1,0,0
379405,control,1,1,0,0
201661,control,1,1,0,0
313123,treatment,0,0,0,0
793295,treatment,1,1,0,0
312522,control,1,1,0,0
585980,control,1,1,0,1
205388,control,1,1,0,0
756352,control,1,1,1,0
531756,control,1,1,0,0
740046,control,1,1,0,0
975750,control,1,0,0,0
912767,treatment,0,0,0,0
876475,treatment,0,0,0,0
848571,control,0,0,0,0
744506,control,1,1,0,0
623736,treatment,1,0,0,0
869693,treatment,1,0,0,0
889381,treatment,1,1,0,0
916503,treatment,0,0,0,0
883368,control,0,0,0,0
387621,control,0,0,0,0
283708,treatment,1,1,0,0
171126,control,0,0,0,0
402149,treatment,0,0,0,0
309237,treatment,1,0,0,0
427745,treatment,1,1,1,0
637182,control,0,0,0,0
562516,treatment,1,1,0,0
209637,control,1,1,1,0
209828,treatment,0,0,0,0
340147,treatment,0,0,0,0
855083,control,0,0,0,0
